"title","author","genre","rating","img","numRater","type","price"
"Zoo Nebraska","Carson Vaughan","History","4.5","https://images-na.ssl-images-amazon.com/images/I/91Lm8MYUs2L.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","16","Kindle Edition","4.99"
"Code Girls","Liza Mundy","History","4.5","https://images-na.ssl-images-amazon.com/images/I/81wLZGJfUcL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","459","Kindle Edition","11.99"
"Extraordinary Lives","William Zinsser","History","4.3","https://images-na.ssl-images-amazon.com/images/I/71ZvpEUKP%2BL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","53","Kindle Edition","1.99"
"The Threat","Andrew G. McCabe","History","4.7","https://images-na.ssl-images-amazon.com/images/I/81daKLuXheL._AC_UL200_SR200,200_.jpg","192","Audible Audiobook"," Free with Audible trial"
"Extreme Ownership","Jocko Willink","History","4.8","https://images-na.ssl-images-amazon.com/images/I/81zCJh6xsQL._AC_UL200_SR200,200_.jpg","2597","Audible Audiobook"," Free with Audible trial"
"Sapiens","Yuval Noah Harari","History","4.5","https://images-na.ssl-images-amazon.com/images/I/81tPEe0egBL._AC_UL200_SR200,200_.jpg","5630","Audible Audiobook"," Free with Audible trial"
"The Broken Circle","Enjeela Ahmadi-Miller","History","4.5","https://images-na.ssl-images-amazon.com/images/I/91DzgssLBzL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","269","Kindle Edition","4.99"
"The Things Our Fathers Saw—The Untold Stories of the World War II Generation From Hometown, USA-Volume I","Matthew Rozell","History","4.6","https://images-na.ssl-images-amazon.com/images/I/91YEcRG%2BTEL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","630","Kindle Edition","1.99"
"The Threat","Andrew G. McCabe","History","4.7","https://images-na.ssl-images-amazon.com/images/I/81wwJtMLCqL._AC_UL200_SR200,200_.jpg","192","Hardcover","17.99"
"Say Nothing","Patrick Radden Keefe","History","4.8","https://images-na.ssl-images-amazon.com/images/I/A1GGRJkhHrL._AC_UL200_SR200,200_.jpg","19","Hardcover","17.37"
"The Threat","Andrew G. McCabe","History","4.7","https://images-na.ssl-images-amazon.com/images/I/81wwJtMLCqL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","192","Kindle Edition","14.99"
"Bury My Heart at Wounded Knee","Dee Brown","History","4.7","https://images-na.ssl-images-amazon.com/images/I/91SOkR8zoaL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1236","Kindle Edition","9.99"
"Mastering the Art of French Eating","Ann Mah","History","4.2","https://images-na.ssl-images-amazon.com/images/I/91nwg-%2BrZnL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","197","Kindle Edition","1.99"
"Say Nothing","Patrick Radden Keefe","History","4.8","https://images-na.ssl-images-amazon.com/images/I/A1rMj%2BB-VQL.__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","19","Kindle Edition","14.99"
"Born Survivors","Wendy Holden","History","4.8","https://images-na.ssl-images-amazon.com/images/I/81zqOrCfkbL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","1351","Kindle Edition","11.99"
"Sapiens","Yuval Noah Harari","History","4.5","https://images-na.ssl-images-amazon.com/images/I/71N3-FFSDxL._AC_UL200_SR200,200_.jpg","5630","Paperback","13.79"
"Dissolving Illusions","Suzanne Humphries MD","History","4.8","https://images-na.ssl-images-amazon.com/images/I/41ritjbPznL._AC_UL200_SR200,200_.jpg","525","Paperback","22.8"
"Queen of Scots","John Guy","History","4.2","https://images-na.ssl-images-amazon.com/images/I/81jR672AxxL._UX300_PJku-sticker-v7,TopRight,0,-50_OU01__BG0,0,0,0_FMpng_AC_UL200_SR200,200_.jpg","136","Kindle Edition","9.99"
"The Case for Trump","Victor Davis Hanson","History",NA,"https://images-na.ssl-images-amazon.com/images/I/51%2BLmBoUkHL._AC_UL200_SR200,200_.jpg",NA,"Hardcover","19.49"
"Say Nothing","Patrick Radden Keefe","History","4.8","https://images-na.ssl-images-amazon.com/images/I/91s5M5m-geL._AC_UL200_SR200,200_.jpg","19","Audible Audiobook"," Free with Audible trial"
