"title","year","keyword"
"Proceedings of the Twenty-Fifth Conference on Uncertainty in Artificial
  Intelligence (2009)",2012,"ai"
"Proceedings of the Twenty-Fifth Conference on Uncertainty in Artificial
  Intelligence (2009)",2012,"artificial intelligence"
"Tuned Models of Peer Assessment in MOOCs",2013,"moocs"
"Tuned Models of Peer Assessment in MOOCs",2013,"algorithms"
"Tuned Models of Peer Assessment in MOOCs",2013,"data"
"Tuned Models of Peer Assessment in MOOCs",2013,"analyse"
"Deep learning for class-generic object detection",2013,"deep neural networks"
"Deep learning for class-generic object detection",2013,"object detection"
"Deep learning for class-generic object detection",2013,"neural networks"
"Deep learning for class-generic object detection",2013,"ai"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"deep-learning systems"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"ai"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"ai"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"data"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"evaluation"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"data"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"engineering"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"learning"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"ai"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"technology"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"learning"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"autonomous driving"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"evaluation"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"learning"
"Driverseat: Crowdstrapping Learning Tasks for Autonomous Driving",2015,"technology"
"Deep Speech 2: End-to-End Speech Recognition in English and Mandarin",2015,"deep learning"
"Deep Speech 2: End-to-End Speech Recognition in English and Mandarin",2015,"neural networks"
"Deep Speech 2: End-to-End Speech Recognition in English and Mandarin",2015,"learning"
"Deep Speech 2: End-to-End Speech Recognition in English and Mandarin",2015,"algorithms"
"Deep Speech 2: End-to-End Speech Recognition in English and Mandarin",2015,"data"
"Deep Speech 2: End-to-End Speech Recognition in English and Mandarin",2015,"data"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"speech recognition"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"speech recognition"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"ai"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"ai"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"deep speech"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"deep learning"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"speech recognition"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"speech recognition"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"speech recognition"
"Comparing Speech and Keyboard Text Entry for Short Messages in Two
  Languages on Touchscreen Phones",2016,"future"
"Deep Voice: Real-time Neural Text-to-Speech",2017,"deep voice"
"Deep Voice: Real-time Neural Text-to-Speech",2017,"product"
"Deep Voice: Real-time Neural Text-to-Speech",2017,"text-to-speech"
"Deep Voice: Real-time Neural Text-to-Speech",2017,"deep neural networks"
"Deep Voice: Real-time Neural Text-to-Speech",2017,"deep voice"
"Deep Voice: Real-time Neural Text-to-Speech",2017,"graph"
"Deep Voice: Real-time Neural Text-to-Speech",2017,"predict"
"Deep Voice: Real-time Neural Text-to-Speech",2017,"predict"
