name,university,conference,count,adjustedcount,year
Kristian G. Olesen,Aalborg University,ijcai,1,0.25,1989
Manfred Jaeger,Aalborg University,ijcai,1,1,1995
Manfred Jaeger,Aalborg University,ijcai,1,1,2001
Manfred Jaeger,Aalborg University,icml,1,1,2003
Manfred Jaeger,Aalborg University,icml,1,1,2007
Peter Dolog,Aalborg University,aaai,1,0.2,2011
Thomas D. Nielsen,Aalborg University,icml,1,0.166666667,2017
Eero HyvÃ¶nen,Aalto University,ijcai,1,1,1989
Ilkka NiemelÃ?,Aalto University,ijcai,1,1,1991
Ilkka NiemelÃ?,Aalto University,ijcai,1,1,1995
Eero HyvÃ¶nen,Aalto University,aaai,1,0.5,1999
Juho Rousu,Aalto University,aaai,1,0.5,2000
Juho Rousu,Aalto University,icml,1,0.5,2002
Ilkka NiemelÃ?,Aalto University,ijcai,1,0.333333333,2003
Martti MÃ?ntylÃ?,Aalto University,icra,1,0.333333333,2003
Samuel Kaski,Aalto University,icml,1,0.5,2003
Samuel Kaski,Aalto University,icml,1,0.333333333,2004
Ilkka NiemelÃ?,Aalto University,aaai,1,0.333333333,2005
Juho Rousu,Aalto University,icml,1,0.25,2005
Samuel Kaski,Aalto University,icml,1,0.333333333,2005
Juho Kannala,Aalto University,cvpr,1,0.5,2007
Samuel Kaski,Aalto University,icml,1,0.5,2007
Juho Kannala,Aalto University,cvpr,1,0.25,2008
Samuel Kaski,Aalto University,icml,1,0.333333333,2008
Samuel Kaski,Aalto University,icml,1,0.333333333,2011
Samuel Kaski,Aalto University,icml,2,0.666666667,2013
Aristides Gionis,Aalto University,icml,1,0.333333333,2014
Juho Kannala,Aalto University,cvpr,2,0.404761905,2014
Juho Rousu,Aalto University,icml,1,0.333333333,2014
Samuel Kaski,Aalto University,aaai,1,0.166666667,2014
Samuel Kaski,Aalto University,icml,1,0.333333333,2014
Antti Oulasvirta,Aalto University,cvpr,1,0.25,2015
Perttu HÃ?mÃ?lÃ?inen,Aalto University,iros,1,0.25,2016
Samuel Kaski,Aalto University,ijcai,1,0.2,2016
