"title","year","keyword"
"learning to predict the future using web knowledge and dynamics",2012,"artificial-intelligence prediction capacity"
"learning to predict the future using web knowledge and dynamics",2012,"web"
"learning to predict the future using web knowledge and dynamics",2012,"knowledge-intensive reasoning"
"learning to predict the future using web knowledge and dynamics",2012,"future"
"learning to predict the future using web knowledge and dynamics",2012,"event prediction"
"learning to predict the future using web knowledge and dynamics",2012,"feature extraction"
"learning to predict the future using web knowledge and dynamics",2012,"novel algorithms"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"ai"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"ai"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"ai"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"raters"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"statistical learning"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"ai"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"ai"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"rank"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"rank"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"ai"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"learning"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"algorithm"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"ai"
"ranking from pairs and triplets: information quality, evaluation methods and query complexity",2011,"conjecture"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"electronic commerce"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"ai"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"ebay"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"marketplaces"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"inventory"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"ai"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"inventory"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"product"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"identifiers"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"brand"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"inventory"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"data"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"ai"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"business insights"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"ebay"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"salespredict"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"unstructured data"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"research"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"ebay"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"data"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"research"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"engineering"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"ebay"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"data"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"product"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"product"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"rank"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"product"
"structuring the unstructured: from startup to making sense of ebay's huge ecommerce inventory",2017,"queries"
